Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Chrome 103.0.5060.53,,,2022-07-06 00:14:19,2022-07-06 00:14:20,0.264s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:20,2022-07-06 00:14:20,0.599s,PASSED
"verifyMatch(priceTag, findTestData(""checkout_data"").getValue(3, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:20,2022-07-06 00:14:20,0.035s,PASSED
"click(findTestObject(""Landing Page/buyNowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:20,2022-07-06 00:14:21,0.385s,PASSED
"qtyField = replace(""×"", """").replace("" "", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:21,2022-07-06 00:14:21,0.491s,PASSED
"verifyMatch(qtyField, findTestData(""checkout_data"").getValue(2, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:21,2022-07-06 00:14:21,0.063s,PASSED
"verifyElementAttributeValue(findTestObject(""Checkout Page/amountField""), ""value"", findTestData(""checkout_data"").getValue(3, 1), 0)",Chrome 103.0.5060.53,,,2022-07-06 00:14:21,2022-07-06 00:14:22,0.453s,PASSED
"totalAmountField = getText(findTestObject(""Checkout Page/totalAmountField"")).replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:22,2022-07-06 00:14:22,0.344s,PASSED
"verifyMatch(totalAmountField, findTestData(""checkout_data"").getValue(4, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:22,2022-07-06 00:14:22,0.045s,PASSED
"setText(findTestObject(""Checkout Page/nameField""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:22,2022-07-06 00:14:23,0.750s,PASSED
"setText(findTestObject(""Checkout Page/emailField""), findTestData(""checkout_data"").getValue(6, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:23,2022-07-06 00:14:23,0.689s,PASSED
"setText(findTestObject(""Checkout Page/phoneField""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:23,2022-07-06 00:14:24,0.688s,PASSED
"setText(findTestObject(""Checkout Page/cityField""), findTestData(""checkout_data"").getValue(8, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:24,2022-07-06 00:14:25,0.720s,PASSED
"setText(findTestObject(""Checkout Page/addressField""), findTestData(""checkout_data"").getValue(9, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:25,2022-07-06 00:14:26,0.718s,PASSED
"setText(findTestObject(""Checkout Page/postalCodeField""), findTestData(""checkout_data"").getValue(10, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:26,2022-07-06 00:14:26,0.674s,PASSED
"click(findTestObject(""Checkout Page/checkoutBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:26,2022-07-06 00:14:27,0.348s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:14:27,2022-07-06 00:14:27,0.756s,PASSED
"totalAmountAtas = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:27,2022-07-06 00:14:27,0.119s,PASSED
"verifyMatch(totalAmountAtas, totalAmountField, false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:27,2022-07-06 00:14:27,0.003s,PASSED
"orderIdText = getText(findTestObject(""Summary Order/orderData/orderID""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:27,2022-07-06 00:14:28,0.094s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.195s,PASSED
"totalAmountBawah = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.141s,PASSED
"verifyMatch(totalAmountBawah, totalAmountAtas, false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.001s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/name""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.120s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/phone""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.215s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:28,0.148s,PASSED
"click(findTestObject(""Summary Order/bankTransferMethod""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:28,2022-07-06 00:14:29,0.213s,PASSED
"click(findTestObject(""paymentMethod/bankBCA""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:29,2022-07-06 00:14:29,0.288s,PASSED
"waitForElementClickable(findTestObject(""paymentMethod/paidBtn""), 40)",Chrome 103.0.5060.53,,,2022-07-06 00:14:29,2022-07-06 00:14:29,0.179s,PASSED
"click(findTestObject(""paymentMethod/paidBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:14:29,2022-07-06 00:14:29,0.452s,PASSED
"verifyElementText(findTestObject(""Status Payment/statusPayment""), findTestData(""checkout_data"").getValue(11, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:14:29,2022-07-06 00:14:30,0.348s,PASSED
"totalAmountFinal = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:14:30,2022-07-06 00:14:30,0.167s,PASSED
"verifyMatch(totalAmountFinal, totalAmountAtas, false)",Chrome 103.0.5060.53,,,2022-07-06 00:14:30,2022-07-06 00:14:30,0.002s,PASSED
takeScreenshot(),Chrome 103.0.5060.53,,,2022-07-06 00:14:30,2022-07-06 00:14:31,0.548s,PASSED
